BAG:nika1 add 1xQuần vải thô lydo: Nhặt từ map at 04/11/2023 12:00 AM
BAG:nika1 add 8xĐá Vĩnh Hằng (old: 7) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 8xĐá Hắc Hóa (old: 7) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 9xĐá Vĩnh Hằng (old: 8) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 9xĐá Hắc Hóa (old: 8) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 10xĐá Vĩnh Hằng (old: 9) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 10xĐá Hắc Hóa (old: 9) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 11xĐá Vĩnh Hằng (old: 10) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 11xĐá Hắc Hóa (old: 10) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 12xĐá Vĩnh Hằng (old: 11) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 12xĐá Hắc Hóa (old: 11) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 13xĐá Vĩnh Hằng (old: 12) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 13xĐá Hắc Hóa (old: 12) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 14xĐá Vĩnh Hằng (old: 13) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 14xĐá Hắc Hóa (old: 13) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 15xĐá Vĩnh Hằng (old: 14) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 15xĐá Hắc Hóa (old: 14) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 16xĐá Vĩnh Hằng (old: 15) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 16xĐá Hắc Hóa (old: 15) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 17xĐá Vĩnh Hằng (old: 16) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 17xĐá Hắc Hóa (old: 16) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 18xĐá Vĩnh Hằng (old: 17) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 18xĐá Hắc Hóa (old: 17) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 19xĐá Vĩnh Hằng (old: 18) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 19xĐá Hắc Hóa (old: 18) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 20xĐá Vĩnh Hằng (old: 19) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 20xĐá Hắc Hóa (old: 19) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 21xĐá Vĩnh Hằng (old: 20) lydo: Mua santa at 04/11/2023 12:48 PM
BAG:nika1 add 21xĐá Hắc Hóa (old: 20) lydo: Mua santa at 04/11/2023 12:48 PM
BAG:nika1 add 1xGăng Hủy Diệt lydo: Cường Hóa trang bị at 04/11/2023 12:48 PM
BAG:nika1 add 1xNhẫn Thần Linh lydo: Cường Hóa trang bị at 04/11/2023 12:48 PM
BAG:nika1 add 1xGiầy Thần Xayda lydo: Cường Hóa trang bị at 04/11/2023 2:32 PM
BAG:nika1 add 2xĐá Vĩnh Hằng (old: 1) lydo: Mua santa at 04/11/2023 2:32 PM
BAG:nika1 add 2xĐá Hắc Hóa (old: 1) lydo: Mua santa at 04/11/2023 2:32 PM
BAG:nika1 add 3xĐá Vĩnh Hằng (old: 2) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 3xĐá Hắc Hóa (old: 2) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 4xĐá Vĩnh Hằng (old: 3) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 4xĐá Hắc Hóa (old: 3) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 5xĐá Vĩnh Hằng (old: 4) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 5xĐá Hắc Hóa (old: 4) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 7xĐá Hắc Hóa (old: 6) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 8xĐá Vĩnh Hằng (old: 7) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 8xĐá Hắc Hóa (old: 7) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 9xĐá Vĩnh Hằng (old: 8) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 9xĐá Hắc Hóa (old: 8) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 10xĐá Vĩnh Hằng (old: 9) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 10xĐá Hắc Hóa (old: 9) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 11xĐá Vĩnh Hằng (old: 10) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 11xĐá Hắc Hóa (old: 10) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 12xĐá Vĩnh Hằng (old: 11) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 12xĐá Hắc Hóa (old: 11) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 13xĐá Vĩnh Hằng (old: 12) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 13xĐá Hắc Hóa (old: 12) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 14xĐá Vĩnh Hằng (old: 13) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 14xĐá Hắc Hóa (old: 13) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 15xĐá Vĩnh Hằng (old: 14) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 15xĐá Hắc Hóa (old: 14) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 16xĐá Vĩnh Hằng (old: 15) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 16xĐá Hắc Hóa (old: 15) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 17xĐá Vĩnh Hằng (old: 16) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 17xĐá Hắc Hóa (old: 16) lydo: Mua santa at 04/11/2023 2:33 PM
BAG:nika1 add 18xĐá Vĩnh Hằng (old: 17) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 18xĐá Hắc Hóa (old: 17) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 19xĐá Vĩnh Hằng (old: 18) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 19xĐá Hắc Hóa (old: 18) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 20xĐá Vĩnh Hằng (old: 19) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 20xĐá Hắc Hóa (old: 19) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 21xĐá Vĩnh Hằng (old: 20) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 21xĐá Hắc Hóa (old: 20) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 22xĐá Vĩnh Hằng (old: 21) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 22xĐá Hắc Hóa (old: 21) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 23xĐá Vĩnh Hằng (old: 22) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 23xĐá Hắc Hóa (old: 22) lydo: Mua santa at 04/11/2023 2:34 PM
BAG:nika1 add 1xGiầy Hủy Diệt lydo: Cường Hóa trang bị at 04/11/2023 2:34 PM
BAG:nika1 add 1xNhẫn Hủy Diệt lydo: Cường Hóa trang bị at 04/11/2023 2:34 PM
BAG:nika1 add 1xRada cấp 9 lydo: Cường Hóa trang bị at 04/11/2023 2:36 PM
BAG:nika1 add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 7xĐá Hắc Hóa (old: 6) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 8xĐá Vĩnh Hằng (old: 7) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 8xĐá Hắc Hóa (old: 7) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 9xĐá Vĩnh Hằng (old: 8) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 9xĐá Hắc Hóa (old: 8) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 10xĐá Vĩnh Hằng (old: 9) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 10xĐá Hắc Hóa (old: 9) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 11xĐá Vĩnh Hằng (old: 10) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 11xĐá Hắc Hóa (old: 10) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 12xĐá Vĩnh Hằng (old: 11) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 12xĐá Hắc Hóa (old: 11) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 13xĐá Vĩnh Hằng (old: 12) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 13xĐá Hắc Hóa (old: 12) lydo: Mua santa at 04/11/2023 2:36 PM
BAG:nika1 add 14xĐá Vĩnh Hằng (old: 13) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 14xĐá Hắc Hóa (old: 13) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 15xĐá Vĩnh Hằng (old: 14) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 15xĐá Hắc Hóa (old: 14) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 16xĐá Vĩnh Hằng (old: 15) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 16xĐá Hắc Hóa (old: 15) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 17xĐá Vĩnh Hằng (old: 16) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 17xĐá Hắc Hóa (old: 16) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 18xĐá Vĩnh Hằng (old: 17) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 18xĐá Hắc Hóa (old: 17) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 19xĐá Vĩnh Hằng (old: 18) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 19xĐá Hắc Hóa (old: 18) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 20xĐá Vĩnh Hằng (old: 19) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 20xĐá Hắc Hóa (old: 19) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 21xĐá Vĩnh Hằng (old: 20) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 21xĐá Hắc Hóa (old: 20) lydo: Mua santa at 04/11/2023 2:37 PM
BAG:nika1 add 1xRada cấp 12 lydo: Cường Hóa trang bị at 04/11/2023 2:37 PM
BAG:nika1 add 1xNhẫn Thần Linh lydo: Cường Hóa trang bị at 04/11/2023 2:37 PM
BAG:nika1 add 1xNhẫn Hủy Diệt lydo: Cường Hóa trang bị at 04/11/2023 2:38 PM
BAG:nika1 add 1xGiày lông đỏ lydo: Cường Hóa trang bị at 04/11/2023 2:38 PM
BAG:nika1 add 2xĐá Vĩnh Hằng (old: 1) lydo: Mua santa at 04/11/2023 2:38 PM
BAG:nika1 add 2xĐá Hắc Hóa (old: 1) lydo: Mua santa at 04/11/2023 2:38 PM
BAG:nika1 add 3xĐá Vĩnh Hằng (old: 2) lydo: Mua santa at 04/11/2023 2:38 PM
BAG:nika1 add 3xĐá Hắc Hóa (old: 2) lydo: Mua santa at 04/11/2023 2:38 PM
BAG:nika1 add 4xĐá Vĩnh Hằng (old: 3) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 4xĐá Hắc Hóa (old: 3) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 5xĐá Vĩnh Hằng (old: 4) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 5xĐá Hắc Hóa (old: 4) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 7xĐá Hắc Hóa (old: 6) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 8xĐá Vĩnh Hằng (old: 7) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 8xĐá Hắc Hóa (old: 7) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 9xĐá Vĩnh Hằng (old: 8) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 9xĐá Hắc Hóa (old: 8) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 10xĐá Vĩnh Hằng (old: 9) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 10xĐá Hắc Hóa (old: 9) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 11xĐá Vĩnh Hằng (old: 10) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 11xĐá Hắc Hóa (old: 10) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 12xĐá Vĩnh Hằng (old: 11) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 12xĐá Hắc Hóa (old: 11) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 13xĐá Vĩnh Hằng (old: 12) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 13xĐá Hắc Hóa (old: 12) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 14xĐá Vĩnh Hằng (old: 13) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 14xĐá Hắc Hóa (old: 13) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 15xĐá Vĩnh Hằng (old: 14) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 15xĐá Hắc Hóa (old: 14) lydo: Mua santa at 04/11/2023 2:39 PM
BAG:nika1 add 1xGiày lưỡng long lydo: Cường Hóa trang bị at 04/11/2023 2:39 PM
BAG:nika1 add 1xGiầy Thần Xayda lydo: Cường Hóa trang bị at 04/11/2023 2:40 PM
BAG:nika1 add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 7xĐá Hắc Hóa (old: 6) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 8xĐá Vĩnh Hằng (old: 7) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 8xĐá Hắc Hóa (old: 7) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 9xĐá Vĩnh Hằng (old: 8) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 9xĐá Hắc Hóa (old: 8) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 10xĐá Vĩnh Hằng (old: 9) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 10xĐá Hắc Hóa (old: 9) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 11xĐá Vĩnh Hằng (old: 10) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 11xĐá Hắc Hóa (old: 10) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 12xĐá Vĩnh Hằng (old: 11) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 12xĐá Hắc Hóa (old: 11) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 13xĐá Vĩnh Hằng (old: 12) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 13xĐá Hắc Hóa (old: 12) lydo: Mua santa at 04/11/2023 2:40 PM
BAG:nika1 add 14xĐá Vĩnh Hằng (old: 13) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 14xĐá Hắc Hóa (old: 13) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 15xĐá Vĩnh Hằng (old: 14) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 15xĐá Hắc Hóa (old: 14) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 16xĐá Vĩnh Hằng (old: 15) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 16xĐá Hắc Hóa (old: 15) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 17xĐá Vĩnh Hằng (old: 16) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 17xĐá Hắc Hóa (old: 16) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 18xĐá Vĩnh Hằng (old: 17) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 18xĐá Hắc Hóa (old: 17) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 19xĐá Vĩnh Hằng (old: 18) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 19xĐá Hắc Hóa (old: 18) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 20xĐá Vĩnh Hằng (old: 19) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 20xĐá Hắc Hóa (old: 19) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 1xGiầy Hủy Diệt lydo: Cường Hóa trang bị at 04/11/2023 2:41 PM
BAG:nika1 add 13xĐá Vĩnh Hằng (old: 12) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 13xĐá Hắc Hóa (old: 12) lydo: Mua santa at 04/11/2023 2:41 PM
BAG:nika1 add 14xĐá Vĩnh Hằng (old: 13) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 14xĐá Hắc Hóa (old: 13) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 15xĐá Vĩnh Hằng (old: 14) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 15xĐá Hắc Hóa (old: 14) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 16xĐá Vĩnh Hằng (old: 15) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 16xĐá Hắc Hóa (old: 15) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 17xĐá Vĩnh Hằng (old: 16) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 17xĐá Hắc Hóa (old: 16) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 18xĐá Vĩnh Hằng (old: 17) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 18xĐá Hắc Hóa (old: 17) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 19xĐá Vĩnh Hằng (old: 18) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 19xĐá Hắc Hóa (old: 18) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 20xĐá Vĩnh Hằng (old: 19) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 20xĐá Hắc Hóa (old: 19) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 21xĐá Vĩnh Hằng (old: 20) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 21xĐá Hắc Hóa (old: 20) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 22xĐá Vĩnh Hằng (old: 21) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 22xĐá Hắc Hóa (old: 21) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 23xĐá Vĩnh Hằng (old: 22) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 23xĐá Hắc Hóa (old: 22) lydo: Mua santa at 04/11/2023 2:42 PM
BAG:nika1 add 1xGiày lông đỏ lydo: Cường Hóa trang bị at 04/11/2023 2:42 PM
BAG:nika1 add 1xGiày lưỡng long lydo: Cường Hóa trang bị at 04/11/2023 2:42 PM
BAG:nika1 add 1xGiầy Thần Xayda lydo: Cường Hóa trang bị at 04/11/2023 2:43 PM
BAG:nika1 add 1xGiầy Hủy Diệt lydo: Cường Hóa trang bị at 04/11/2023 2:43 PM
BAG:nika1 add 4xĐá Vĩnh Hằng (old: 3) lydo: Mua santa at 04/11/2023 2:43 PM
BAG:nika1 add 4xĐá Hắc Hóa (old: 3) lydo: Mua santa at 04/11/2023 2:43 PM
BAG:nika1 add 5xĐá Vĩnh Hằng (old: 4) lydo: Mua santa at 04/11/2023 2:43 PM
BAG:nika1 add 5xĐá Hắc Hóa (old: 4) lydo: Mua santa at 04/11/2023 2:43 PM
BAG:nika1 add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 04/11/2023 2:43 PM
BAG:nika1 add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 04/11/2023 2:43 PM
BAG:nika1 add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 04/11/2023 2:44 PM
BAG:nika1 add 7xĐá Hắc Hóa (old: 6) lydo: Mua santa at 04/11/2023 2:44 PM
BAG:nika1 add 8xĐá Vĩnh Hằng (old: 7) lydo: Mua santa at 04/11/2023 2:44 PM
BAG:nika1 add 8xĐá Hắc Hóa (old: 7) lydo: Mua santa at 04/11/2023 2:44 PM
