BAG:thaoly14 add 1xBông tai Porata lydo: Mua từ cửa hàng at 03/30/2023 6:05 AM
BAG:thaoly14 add 81xPháo hoa (old: 76) lydo: Nhặt từ map at 03/30/2023 6:15 AM
BAG:thaoly14 add 3xĐá Titan (old: 2) lydo: Nhặt từ map at 03/30/2023 6:15 AM
BAG:thaoly14 add 86xPháo hoa (old: 81) lydo: Nhặt từ map at 03/30/2023 6:16 AM
BAG:thaoly14 add 91xPháo hoa (old: 86) lydo: Nhặt từ map at 03/30/2023 6:16 AM
BAG:thaoly14 add 3xĐá thạch anh tím (old: 2) lydo: Nhặt từ map at 03/30/2023 6:17 AM
BAG:thaoly14 add 96xPháo hoa (old: 91) lydo: Nhặt từ map at 03/30/2023 6:18 AM
BAG:thaoly14 add 1xNgọc Rồng 5 sao lydo: Nhặt từ map at 03/30/2023 6:18 AM
BAG:thaoly14 add 2xPháo hoa lydo: Nhặt từ map at 03/30/2023 6:18 AM
BAG:thaoly14 add 99xPháo hoa (old: 96) lydo: Nhặt từ map at 03/30/2023 6:18 AM
BAG:thaoly14 add 4xĐá Titan (old: 3) lydo: Nhặt từ map at 03/30/2023 6:20 AM
BAG:thaoly14 add 5xĐá Titan (old: 4) lydo: Nhặt từ map at 03/30/2023 6:20 AM
BAG:thaoly14 add 6xĐá Titan (old: 5) lydo: Nhặt từ map at 03/30/2023 6:20 AM
BAG:thaoly14 add 7xPháo hoa (old: 2) lydo: Nhặt từ map at 03/30/2023 6:20 AM
BAG:thaoly14 add 12xPháo hoa (old: 7) lydo: Nhặt từ map at 03/30/2023 6:20 AM
BAG:thaoly14 add 6xĐá Ruby (old: 5) lydo: Nhặt từ map at 03/30/2023 6:20 AM
BAG:thaoly14 add 7xĐá Titan (old: 6) lydo: Nhặt từ map at 03/30/2023 6:20 AM
BAG:thaoly14 add 9xĐá Saphia (old: 8) lydo: Nhặt từ map at 03/30/2023 6:21 AM
BAG:thaoly14 add 17xPháo hoa (old: 12) lydo: Nhặt từ map at 03/30/2023 6:21 AM
BAG:thaoly14 add 2xNgọc Rồng 5 sao (old: 1) lydo: Nhặt từ map at 03/30/2023 6:24 AM
BAG:thaoly14 add 22xPháo hoa (old: 17) lydo: Nhặt từ map at 03/30/2023 6:24 AM
BAG:thaoly14 add 27xPháo hoa (old: 22) lydo: Nhặt từ map at 03/30/2023 6:25 AM
BAG:thaoly14 add 32xPháo hoa (old: 27) lydo: Nhặt từ map at 03/30/2023 6:26 AM
BAG:thaoly14 add 2xĐá Vĩnh Hằng (old: 1) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 2xĐá Hắc Hóa (old: 1) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 3xĐá Vĩnh Hằng (old: 2) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 3xĐá Hắc Hóa (old: 2) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 4xĐá Vĩnh Hằng (old: 3) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 4xĐá Hắc Hóa (old: 3) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 5xĐá Vĩnh Hằng (old: 4) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 5xĐá Hắc Hóa (old: 4) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 7xĐá Hắc Hóa (old: 6) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 8xĐá Vĩnh Hằng (old: 7) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 8xĐá Hắc Hóa (old: 7) lydo: Mua santa at 03/30/2023 6:27 AM
BAG:thaoly14 add 9xĐá Vĩnh Hằng (old: 8) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 9xĐá Hắc Hóa (old: 8) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 10xĐá Vĩnh Hằng (old: 9) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 10xĐá Hắc Hóa (old: 9) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 11xĐá Vĩnh Hằng (old: 10) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 11xĐá Hắc Hóa (old: 10) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 12xĐá Vĩnh Hằng (old: 11) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 12xĐá Hắc Hóa (old: 11) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 13xĐá Vĩnh Hằng (old: 12) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 13xĐá Hắc Hóa (old: 12) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 14xĐá Vĩnh Hằng (old: 13) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 14xĐá Hắc Hóa (old: 13) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 15xĐá Vĩnh Hằng (old: 14) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 15xĐá Hắc Hóa (old: 14) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 16xĐá Vĩnh Hằng (old: 15) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 16xĐá Hắc Hóa (old: 15) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 37xPháo hoa (old: 32) lydo: Nhặt từ map at 03/30/2023 6:28 AM
BAG:thaoly14 add 17xĐá Vĩnh Hằng (old: 16) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 17xĐá Hắc Hóa (old: 16) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 18xĐá Vĩnh Hằng (old: 17) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 18xĐá Hắc Hóa (old: 17) lydo: Mua santa at 03/30/2023 6:28 AM
BAG:thaoly14 add 19xĐá Vĩnh Hằng (old: 18) lydo: Mua santa at 03/30/2023 6:29 AM
BAG:thaoly14 add 19xĐá Hắc Hóa (old: 18) lydo: Mua santa at 03/30/2023 6:29 AM
BAG:thaoly14 add 20xĐá Vĩnh Hằng (old: 19) lydo: Mua santa at 03/30/2023 6:29 AM
BAG:thaoly14 add 20xĐá Hắc Hóa (old: 19) lydo: Mua santa at 03/30/2023 6:29 AM
BAG:thaoly14 add 21xĐá Vĩnh Hằng (old: 20) lydo: Mua santa at 03/30/2023 6:29 AM
BAG:thaoly14 add 21xĐá Hắc Hóa (old: 20) lydo: Mua santa at 03/30/2023 6:29 AM
BAG:thaoly14 add 22xĐá Vĩnh Hằng (old: 21) lydo: Mua santa at 03/30/2023 6:29 AM
BAG:thaoly14 add 22xĐá Hắc Hóa (old: 21) lydo: Mua santa at 03/30/2023 6:29 AM
BAG:thaoly14 add 23xĐá Vĩnh Hằng (old: 22) lydo: Mua santa at 03/30/2023 6:29 AM
BAG:thaoly14 add 23xĐá Hắc Hóa (old: 22) lydo: Mua santa at 03/30/2023 6:29 AM
