BAG:nhathoi1 add 5xĐậu thần cấp 1 lydo: Thu hoạch đậu at 03/02/2023 9:11 PM
BAG:nhathoi1 add 7xĐậu thần cấp 1 (old: 5) lydo: Thu hoạch đậu at 03/02/2023 9:15 PM
BAG:nhathoi1 add 10xĐậu thần cấp 1 (old: 7) lydo: Thu hoạch đậu at 03/02/2023 9:15 PM
BAG:nhathoi1 add 1xĐậu xanh lydo: Nhặt từ map at 03/02/2023 9:16 PM
BAG:nhathoi1 add 1xGà quay nguyên con lydo: Nhặt từ map at 03/02/2023 9:18 PM
BAG:nhathoi1 add 1000000xThỏi vàng lydo: Giftcode at 03/02/2023 9:27 PM
BAG:nhathoi1 add 10000xĐá ngũ sắc lydo: Giftcode at 03/02/2023 9:27 PM
BAG:nhathoi1 add 500xNgọc Rồng 3 sao lydo: Giftcode at 03/02/2023 9:28 PM
BAG:nhathoi1 add 500xNgọc Rồng 7 sao lydo: Giftcode at 03/02/2023 9:28 PM
BAG:nhathoi1 add 1xCột nhà lydo: Mua từ cửa hàng at 03/02/2023 9:28 PM
BAG:nhathoi1 add 1xTrứng vịt muối lydo: Nhặt từ map at 03/02/2023 9:29 PM
BAG:nhathoi1 add 2xGà quay nguyên con (old: 1) lydo: Nhặt từ map at 03/02/2023 9:32 PM
BAG:nhathoi1 add 3xGà quay nguyên con (old: 2) lydo: Nhặt từ map at 03/02/2023 9:32 PM
BAG:nhathoi1 add 2xĐậu xanh (old: 1) lydo: Nhặt từ map at 03/02/2023 9:33 PM
BAG:nhathoi1 add 46xNgọc Rồng 2 sao (old: 45) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 47xNgọc Rồng 2 sao (old: 46) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 48xNgọc Rồng 2 sao (old: 47) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 49xNgọc Rồng 2 sao (old: 48) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 50xNgọc Rồng 2 sao (old: 49) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 51xNgọc Rồng 2 sao (old: 50) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 52xNgọc Rồng 2 sao (old: 51) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 53xNgọc Rồng 2 sao (old: 52) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 54xNgọc Rồng 2 sao (old: 53) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 55xNgọc Rồng 2 sao (old: 54) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 56xNgọc Rồng 2 sao (old: 55) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 57xNgọc Rồng 2 sao (old: 56) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 58xNgọc Rồng 2 sao (old: 57) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 1000016xThỏi vàng (old: 999996) lydo: Đổi vàng at 03/02/2023 9:37 PM
