BAG:kdkdkd add 1000000xThỏi vàng lydo: Giftcode at 03/05/2023 12:20 AM
BAG:kdkdkd add 10000xĐá ngũ sắc lydo: Giftcode at 03/05/2023 12:20 AM
BAG:kdkdkd add 10xĐậu thần cấp 1 (old: 5) lydo: Thu hoạch đậu at 03/05/2023 12:21 AM
BAG:kdkdkd add 1xCải trang Đôrêmon lydo: Mua từ cửa hàng at 03/05/2023 12:21 AM
BAG:kdkdkd add 1xCải trang Hit lydo: Mua từ cửa hàng at 03/05/2023 12:22 AM
BAG:kdkdkd add 1xĐậu thần cấp 5 lydo: Thu hoạch đậu at 03/05/2023 12:24 AM
BAG:kdkdkd add 1xGà quay nguyên con lydo: Nhặt từ map at 03/05/2023 12:26 AM
BAG:kdkdkd add 1xVán bay lydo: Mua từ cửa hàng at 03/05/2023 12:27 AM
BAG:kdkdkd add 1xQuần vải thô lydo: Nhặt từ map at 03/05/2023 12:29 AM
BAG:kdkdkd add 2xGà quay nguyên con (old: 1) lydo: Nhặt từ map at 03/05/2023 12:29 AM
BAG:kdkdkd add 1xViên Capsule đặc biệt lydo: Mua từ cửa hàng at 03/05/2023 12:29 AM
BAG:kdkdkd add 10xNgọc Rồng 2 sao (old: 9) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 11xNgọc Rồng 2 sao (old: 10) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 12xNgọc Rồng 2 sao (old: 11) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 13xNgọc Rồng 2 sao (old: 12) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 14xNgọc Rồng 2 sao (old: 13) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 15xNgọc Rồng 2 sao (old: 14) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 16xNgọc Rồng 2 sao (old: 15) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 17xNgọc Rồng 2 sao (old: 16) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 18xNgọc Rồng 2 sao (old: 17) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 19xNgọc Rồng 2 sao (old: 18) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 20xNgọc Rồng 2 sao (old: 19) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 21xNgọc Rồng 2 sao (old: 20) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 22xNgọc Rồng 2 sao (old: 21) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 23xNgọc Rồng 2 sao (old: 22) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 24xNgọc Rồng 2 sao (old: 23) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 25xNgọc Rồng 2 sao (old: 24) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 26xNgọc Rồng 2 sao (old: 25) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 27xNgọc Rồng 2 sao (old: 26) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 28xNgọc Rồng 2 sao (old: 27) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 29xNgọc Rồng 2 sao (old: 28) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 30xNgọc Rồng 2 sao (old: 29) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 31xNgọc Rồng 2 sao (old: 30) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 32xNgọc Rồng 2 sao (old: 31) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 33xNgọc Rồng 2 sao (old: 32) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 34xNgọc Rồng 2 sao (old: 33) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 35xNgọc Rồng 2 sao (old: 34) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 36xNgọc Rồng 2 sao (old: 35) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 37xNgọc Rồng 2 sao (old: 36) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 38xNgọc Rồng 2 sao (old: 37) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 39xNgọc Rồng 2 sao (old: 38) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 40xNgọc Rồng 2 sao (old: 39) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 41xNgọc Rồng 2 sao (old: 40) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 42xNgọc Rồng 2 sao (old: 41) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 43xNgọc Rồng 2 sao (old: 42) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 44xNgọc Rồng 2 sao (old: 43) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 45xNgọc Rồng 2 sao (old: 44) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 46xNgọc Rồng 2 sao (old: 45) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 47xNgọc Rồng 2 sao (old: 46) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 48xNgọc Rồng 2 sao (old: 47) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 49xNgọc Rồng 2 sao (old: 48) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 50xNgọc Rồng 2 sao (old: 49) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 51xNgọc Rồng 2 sao (old: 50) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 52xNgọc Rồng 2 sao (old: 51) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 53xNgọc Rồng 2 sao (old: 52) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 54xNgọc Rồng 2 sao (old: 53) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 55xNgọc Rồng 2 sao (old: 54) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 56xNgọc Rồng 2 sao (old: 55) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 57xNgọc Rồng 2 sao (old: 56) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 58xNgọc Rồng 2 sao (old: 57) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 1xNgọc Rồng 1 sao lydo: Nhập ngọc at 03/05/2023 12:33 AM
BAG:kdkdkd add 2xNgọc Rồng 1 sao (old: 1) lydo: Nhập ngọc at 03/05/2023 12:33 AM
BAG:kdkdkd add 3xNgọc Rồng 1 sao (old: 2) lydo: Nhập ngọc at 03/05/2023 12:33 AM
BAG:kdkdkd add 4xNgọc Rồng 1 sao (old: 3) lydo: Nhập ngọc at 03/05/2023 12:33 AM
BAG:kdkdkd add 5xNgọc Rồng 1 sao (old: 4) lydo: Nhập ngọc at 03/05/2023 12:33 AM
BAG:kdkdkd add 6xNgọc Rồng 1 sao (old: 5) lydo: Nhập ngọc at 03/05/2023 12:33 AM
BAG:kdkdkd add 7xNgọc Rồng 1 sao (old: 6) lydo: Nhập ngọc at 03/05/2023 12:33 AM
BAG:kdkdkd add 8xNgọc Rồng 1 sao (old: 7) lydo: Nhập ngọc at 03/05/2023 12:33 AM
BAG:kdkdkd add 1000024xThỏi vàng (old: 999999) lydo: Đổi vàng at 03/05/2023 12:34 AM
