BAG:buswin add 5xĐậu thần cấp 1 lydo: Thu hoạch đậu at 03/04/2023 3:18 PM
BAG:buswin add 8xĐậu thần cấp 1 (old: 3) lydo: Thu hoạch đậu at 03/04/2023 3:20 PM
BAG:buswin add 1xTrứng vịt muối lydo: Nhặt từ map at 03/04/2023 3:21 PM
BAG:buswin add 1xĐậu xanh lydo: Nhặt từ map at 03/04/2023 3:22 PM
BAG:buswin add 2xĐậu xanh (old: 1) lydo: Nhặt từ map at 03/04/2023 3:22 PM
BAG:buswin add 3xĐậu xanh (old: 2) lydo: Nhặt từ map at 03/04/2023 3:23 PM
BAG:buswin add 1xQuần vải đen lydo: Nhặt từ map at 03/04/2023 3:23 PM
BAG:buswin add 4xĐậu xanh (old: 3) lydo: Nhặt từ map at 03/04/2023 3:24 PM
BAG:buswin add 1xBột mì lydo: Nhặt từ map at 03/04/2023 3:24 PM
BAG:buswin add 2xBột mì (old: 1) lydo: Nhặt từ map at 03/04/2023 3:25 PM
BAG:buswin add 1xQuần vải đen lydo: Nhặt từ map at 03/04/2023 3:26 PM
BAG:buswin add 2xTrứng vịt muối (old: 1) lydo: Nhặt từ map at 03/04/2023 3:26 PM
BAG:buswin add 5xNgọc Rồng 2 sao (old: 4) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 6xNgọc Rồng 2 sao (old: 5) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 7xNgọc Rồng 2 sao (old: 6) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 8xNgọc Rồng 2 sao (old: 7) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 9xNgọc Rồng 2 sao (old: 8) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 10xNgọc Rồng 2 sao (old: 9) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 11xNgọc Rồng 2 sao (old: 10) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 12xNgọc Rồng 2 sao (old: 11) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 13xNgọc Rồng 2 sao (old: 12) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 14xNgọc Rồng 2 sao (old: 13) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 15xNgọc Rồng 2 sao (old: 14) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 16xNgọc Rồng 2 sao (old: 15) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 17xNgọc Rồng 2 sao (old: 16) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 18xNgọc Rồng 2 sao (old: 17) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 19xNgọc Rồng 2 sao (old: 18) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 20xNgọc Rồng 2 sao (old: 19) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 21xNgọc Rồng 2 sao (old: 20) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 22xNgọc Rồng 2 sao (old: 21) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 23xNgọc Rồng 2 sao (old: 22) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 24xNgọc Rồng 2 sao (old: 23) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 25xNgọc Rồng 2 sao (old: 24) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 26xNgọc Rồng 2 sao (old: 25) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 27xNgọc Rồng 2 sao (old: 26) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 28xNgọc Rồng 2 sao (old: 27) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 29xNgọc Rồng 2 sao (old: 28) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 30xNgọc Rồng 2 sao (old: 29) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 31xNgọc Rồng 2 sao (old: 30) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 32xNgọc Rồng 2 sao (old: 31) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 33xNgọc Rồng 2 sao (old: 32) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 34xNgọc Rồng 2 sao (old: 33) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 35xNgọc Rồng 2 sao (old: 34) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 36xNgọc Rồng 2 sao (old: 35) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 37xNgọc Rồng 2 sao (old: 36) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 38xNgọc Rồng 2 sao (old: 37) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 39xNgọc Rồng 2 sao (old: 38) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 40xNgọc Rồng 2 sao (old: 39) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 41xNgọc Rồng 2 sao (old: 40) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 42xNgọc Rồng 2 sao (old: 41) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 43xNgọc Rồng 2 sao (old: 42) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 44xNgọc Rồng 2 sao (old: 43) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 45xNgọc Rồng 2 sao (old: 44) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 46xNgọc Rồng 2 sao (old: 45) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 47xNgọc Rồng 2 sao (old: 46) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 48xNgọc Rồng 2 sao (old: 47) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 49xNgọc Rồng 2 sao (old: 48) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 50xNgọc Rồng 2 sao (old: 49) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 51xNgọc Rồng 2 sao (old: 50) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 52xNgọc Rồng 2 sao (old: 51) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 53xNgọc Rồng 2 sao (old: 52) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 54xNgọc Rồng 2 sao (old: 53) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 55xNgọc Rồng 2 sao (old: 54) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 56xNgọc Rồng 2 sao (old: 55) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 57xNgọc Rồng 2 sao (old: 56) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 58xNgọc Rồng 2 sao (old: 57) lydo: Nhập ngọc at 03/04/2023 3:31 PM
BAG:buswin add 59xNgọc Rồng 2 sao (old: 58) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 60xNgọc Rồng 2 sao (old: 59) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 61xNgọc Rồng 2 sao (old: 60) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 62xNgọc Rồng 2 sao (old: 61) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 63xNgọc Rồng 2 sao (old: 62) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 64xNgọc Rồng 2 sao (old: 63) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 65xNgọc Rồng 2 sao (old: 64) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 66xNgọc Rồng 2 sao (old: 65) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 67xNgọc Rồng 2 sao (old: 66) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 68xNgọc Rồng 2 sao (old: 67) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 69xNgọc Rồng 2 sao (old: 68) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 70xNgọc Rồng 2 sao (old: 69) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 71xNgọc Rồng 2 sao (old: 70) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 1xNgọc Rồng 6 sao lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 2xNgọc Rồng 6 sao (old: 1) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 3xNgọc Rồng 6 sao (old: 2) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 4xNgọc Rồng 6 sao (old: 3) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 5xNgọc Rồng 6 sao (old: 4) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 6xNgọc Rồng 6 sao (old: 5) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 7xNgọc Rồng 6 sao (old: 6) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 8xNgọc Rồng 6 sao (old: 7) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 9xNgọc Rồng 6 sao (old: 8) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 10xNgọc Rồng 6 sao (old: 9) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 11xNgọc Rồng 6 sao (old: 10) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 12xNgọc Rồng 6 sao (old: 11) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 13xNgọc Rồng 6 sao (old: 12) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 14xNgọc Rồng 6 sao (old: 13) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 15xNgọc Rồng 6 sao (old: 14) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 16xNgọc Rồng 6 sao (old: 15) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 17xNgọc Rồng 6 sao (old: 16) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 18xNgọc Rồng 6 sao (old: 17) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 19xNgọc Rồng 6 sao (old: 18) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 20xNgọc Rồng 6 sao (old: 19) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 21xNgọc Rồng 6 sao (old: 20) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 22xNgọc Rồng 6 sao (old: 21) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 23xNgọc Rồng 6 sao (old: 22) lydo: Nhập ngọc at 03/04/2023 3:32 PM
BAG:buswin add 24xNgọc Rồng 6 sao (old: 23) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 25xNgọc Rồng 6 sao (old: 24) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 26xNgọc Rồng 6 sao (old: 25) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 27xNgọc Rồng 6 sao (old: 26) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 28xNgọc Rồng 6 sao (old: 27) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 29xNgọc Rồng 6 sao (old: 28) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 30xNgọc Rồng 6 sao (old: 29) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 31xNgọc Rồng 6 sao (old: 30) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 32xNgọc Rồng 6 sao (old: 31) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 33xNgọc Rồng 6 sao (old: 32) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 34xNgọc Rồng 6 sao (old: 33) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 35xNgọc Rồng 6 sao (old: 34) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 36xNgọc Rồng 6 sao (old: 35) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 37xNgọc Rồng 6 sao (old: 36) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 38xNgọc Rồng 6 sao (old: 37) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 39xNgọc Rồng 6 sao (old: 38) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 40xNgọc Rồng 6 sao (old: 39) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 41xNgọc Rồng 6 sao (old: 40) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 42xNgọc Rồng 6 sao (old: 41) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 43xNgọc Rồng 6 sao (old: 42) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 44xNgọc Rồng 6 sao (old: 43) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 45xNgọc Rồng 6 sao (old: 44) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 46xNgọc Rồng 6 sao (old: 45) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 47xNgọc Rồng 6 sao (old: 46) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 48xNgọc Rồng 6 sao (old: 47) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 49xNgọc Rồng 6 sao (old: 48) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 50xNgọc Rồng 6 sao (old: 49) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 51xNgọc Rồng 6 sao (old: 50) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 52xNgọc Rồng 6 sao (old: 51) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 53xNgọc Rồng 6 sao (old: 52) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 54xNgọc Rồng 6 sao (old: 53) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 55xNgọc Rồng 6 sao (old: 54) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 56xNgọc Rồng 6 sao (old: 55) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 57xNgọc Rồng 6 sao (old: 56) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 58xNgọc Rồng 6 sao (old: 57) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 59xNgọc Rồng 6 sao (old: 58) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 60xNgọc Rồng 6 sao (old: 59) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 61xNgọc Rồng 6 sao (old: 60) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 62xNgọc Rồng 6 sao (old: 61) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 63xNgọc Rồng 6 sao (old: 62) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 64xNgọc Rồng 6 sao (old: 63) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 65xNgọc Rồng 6 sao (old: 64) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 66xNgọc Rồng 6 sao (old: 65) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 67xNgọc Rồng 6 sao (old: 66) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 68xNgọc Rồng 6 sao (old: 67) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 69xNgọc Rồng 6 sao (old: 68) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 70xNgọc Rồng 6 sao (old: 69) lydo: Nhập ngọc at 03/04/2023 3:33 PM
BAG:buswin add 71xNgọc Rồng 6 sao (old: 70) lydo: Nhập ngọc at 03/04/2023 3:33 PM
